ID	Provider	2019-01-Steps	2019-02-Steps	2019-03-Steps	2019-04-Steps	2019-05-Steps	2019-06-Steps	2019-07-Steps	2019-08-Steps	2019-09-Steps	2019-10-Steps	2019-11-Steps	2019-12-Steps	2020-01-Steps	2020-02-Steps	2020-03-Steps	2020-04-Steps	2020-05-Steps	2020-06-Steps	2020-07-Steps	2020-08-Steps	2020-09-Steps	2020-10-Steps	2020-11-Steps	2020-12-Steps	2020-03-01-Steps	2020-03-13-Steps	2019-Steps	2020-Steps	2019-01-Mvpa	2019-02-Mvpa	2019-03-Mvpa	2019-04-Mvpa	2019-05-Mvpa	2019-06-Mvpa	2019-07-Mvpa	2019-08-Mvpa	2019-09-Mvpa	2019-10-Mvpa	2019-11-Mvpa	2019-12-Mvpa	2020-01-Mvpa	2020-02-Mvpa	2020-03-Mvpa	2020-04-Mvpa	2020-05-Mvpa	2020-06-Mvpa	2020-07-Mvpa	2020-08-Mvpa	2020-09-Mvpa	2020-10-Mvpa	2020-11-Mvpa	2020-12-Mvpa	2020-03-01-Mvpa	2020-03-13-Mvpa	2019-Mvpa	2020-Mvpa	2019-01-TEE	2019-02-TEE	2019-03-TEE	2019-04-TEE	2019-05-TEE	2019-06-TEE	2019-07-TEE	2019-08-TEE	2019-09-TEE	2019-10-TEE	2019-11-TEE	2019-12-TEE	2020-01-TEE	2020-02-TEE	2020-03-TEE	2020-04-TEE	2020-05-TEE	2020-06-TEE	2020-07-TEE	2020-08-TEE	2020-09-TEE	2020-10-TEE	2020-11-TEE	2020-12-TEE	2020-03-01-TEE	2020-03-13-TEE	2019-TEE	2020-TEE	2019-01-AEE	2019-02-AEE	2019-03-AEE	2019-04-AEE	2019-05-AEE	2019-06-AEE	2019-07-AEE	2019-08-AEE	2019-09-AEE	2019-10-AEE	2019-11-AEE	2019-12-AEE	2020-01-AEE	2020-02-AEE	2020-03-AEE	2020-04-AEE	2020-05-AEE	2020-06-AEE	2020-07-AEE	2020-08-AEE	2020-09-AEE	2020-10-AEE	2020-11-AEE	2020-12-AEE	2020-03-01-AEE	2020-03-13-AEE	2019-AEE	2020-AEE	2019-01-LPA	2019-02-LPA	2019-03-LPA	2019-04-LPA	2019-05-LPA	2019-06-LPA	2019-07-LPA	2019-08-LPA	2019-09-LPA	2019-10-LPA	2019-11-LPA	2019-12-LPA	2020-01-LPA	2020-02-LPA	2020-03-LPA	2020-04-LPA	2020-05-LPA	2020-06-LPA	2020-07-LPA	2020-08-LPA	2020-09-LPA	2020-10-LPA	2020-11-LPA	2020-12-LPA	2020-03-01-LPA	2020-03-13-LPA	2019-LPA	2020-LPA	2019-01-MPA	2019-02-MPA	2019-03-MPA	2019-04-MPA	2019-05-MPA	2019-06-MPA	2019-07-MPA	2019-08-MPA	2019-09-MPA	2019-10-MPA	2019-11-MPA	2019-12-MPA	2020-01-MPA	2020-02-MPA	2020-03-MPA	2020-04-MPA	2020-05-MPA	2020-06-MPA	2020-07-MPA	2020-08-MPA	2020-09-MPA	2020-10-MPA	2020-11-MPA	2020-12-MPA	2020-03-01-MPA	2020-03-13-MPA	2019-MPA	2020-MPA	2019-01-VPA	2019-02-VPA	2019-03-VPA	2019-04-VPA	2019-05-VPA	2019-06-VPA	2019-07-VPA	2019-08-VPA	2019-09-VPA	2019-10-VPA	2019-11-VPA	2019-12-VPA	2020-01-VPA	2020-02-VPA	2020-03-VPA	2020-04-VPA	2020-05-VPA	2020-06-VPA	2020-07-VPA	2020-08-VPA	2020-09-VPA	2020-10-VPA	2020-11-VPA	2020-12-VPA	2020-03-01-VPA	2020-03-13-VPA	2019-VPA	2020-VPA	2019-01-SED	2019-02-SED	2019-03-SED	2019-04-SED	2019-05-SED	2019-06-SED	2019-07-SED	2019-08-SED	2019-09-SED	2019-10-SED	2019-11-SED	2019-12-SED	2020-01-SED	2020-02-SED	2020-03-SED	2020-04-SED	2020-05-SED	2020-06-SED	2020-07-SED	2020-08-SED	2020-09-SED	2020-10-SED	2020-11-SED	2020-12-SED	2020-03-01-SED	2020-03-13-SED	2019-SED	2020-SED
1	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8669	8409	9163	6749	8768	9290	7894	9541	7223	9233	10522	9871	11637	9808	8008	8042	8473	7529	8229	9228	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	43	36	52	14	42	52	37	44	41	52	45	50	57	48	52	10	55	26	36	47	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3109	3024	3084	2770	3211	3312	3025	2928	2871	3015	2944	2985	3102	3014	3041	2732	3255	2880	2993	3034	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	806	721	781	467	927	1052	765	692	643	787	716	757	874	786	813	504	995	620	690	794	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	23	9	11	1	5	5	3	3	2	2	2	1	2	2	1	0	2	1	20	19	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	19	9	6	2	3	3	2	2	1	2	2	2	1	1	1	0	1	1	16	15	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	Garmin	15684	14770	14830	13514	14672	14544	11811	15592	17031	14260	9293	11433	9972	12157	11706	13006	13842	13528	16095	14011	14842	14056	10280	10197	12312	11323	13986	12839	63	60	56	51	56	55	37	100	111	61	38	53	40	63	67	73	105	99	104	131	115	137	100	133	72	64	62	97	2744	2677	2671	2574	2623	2683	2505	2880	2837	2579	2388	2693	2709	3086	3095	2670	2779	2725	2831	2882	2880	2903	2697	2933	3266	2988	2657	2848	815	752	760	672	731	793	636	989	954	690	489	795	817	1194	1203	782	900	849	955	1006	1004	1024	821	1075	1374	1096	759	968	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	4	1	1	1	0	1	0	3	3	1	0	0	0	0	0	0	2	1	1	1	1	1	1	1	0	0	10	12	58	27	18	11	10	7	3	10	8	5	2	3	2	3	3	3	4	3	4	4	4	4	3	3	1	2	52	36	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11980	10800	12258	10080	10604	9711	11611	NULL	NULL	NULL	10948	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	44	28	51	25	19	18	22	NULL	NULL	NULL	29	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2153	2116	2241	2175	2043	2033	2077	NULL	NULL	NULL	2118	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	484	446	571	505	373	363	407	NULL	NULL	NULL	448	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	19	5	7	2	2	1	0	NULL	NULL	NULL	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	25	12	12	4	1	2	2	NULL	NULL	NULL	18	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	Garmin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	13665	9876	10757	12403	7674	7187	8862	10798	12456	14812	14950	14920	12523	13698	9753	5596	10491	11845	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	14	20	15	31	16	25	30	34	44	54	44	40	49	55	20	13	19	37	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2306	2261	2298	2381	2139	2298	2364	2349	2466	2542	2499	2468	2411	2447	2224	2054	2268	2394	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	628	593	625	709	467	626	692	701	801	870	827	794	739	802	552	382	598	726	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	1	2	1	0	0	1	1	1	0	0	0	0	0	0	2	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	12	15	5	6	2	4	4	2	4	5	3	3	3	3	1	1	17	26	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	Fitbit	7521	6730	5916	6451	6949	6418	7360	8362	6596	NULL	5349	7294	5601	5679	8479	14267	10272	8628	9440	8369	11390	10561	8871	10664	8489	8472	6931	9356	56	27	15	33	31	32	28	48	38	NULL	4	14	8	10	29	88	34	23	16	20	18	21	14	50	31	27	31	28	2210	2123	2050	2184	2224	2126	2230	2315	2278	NULL	2022	2184	2049	2070	2259	2502	2235	2149	2210	2139	2378	2271	2181	2320	2354	2200	2188	2230	1086	968	874	1031	1070	939	1059	1131	1093	NULL	776	975	807	837	1072	1364	1065	1018	1016	988	1257	1088	935	1137	1217	981	1016	1049	243	111	86	66	55	38	39	32	24	NULL	6	27	21	18	21	18	18	17	18	16	19	16	12	12	9	12	252	155	41	6	3	6	4	4	2	3	2	NULL	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	21	8	15	6	1	2	2	1	1	2	0	NULL	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	10	6	650	310	235	151	116	103	87	80	57	NULL	22	68	63	53	51	39	41	37	39	33	32	31	29	28	20	31	627	343
6	Garmin	11403	10951	10510	11697	14160	14928	15131	13619	12701	12386	11658	14460	11524	11395	11910	11152	11559	14225	13160	14728	13440	11230	11035	12521	12410	11594	12816	12324	29	33	14	31	12	30	42	30	36	17	9	23	17	27	10	32	17	18	17	36	33	10	11	17	5	14	25	20	2917	2884	2715	2858	2845	2886	2919	2885	2906	2762	2767	3051	3026	3143	2992	2800	2806	2841	2783	2892	2861	2791	2748	2846	2889	3057	2866	2877	720	694	518	661	648	689	722	688	709	572	570	855	835	952	801	609	615	651	600	701	670	600	557	655	698	866	670	687	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	17	7	2	3	1	2	3	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	5	12	8	2	4	1	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7	Fitbit	NULL	NULL	NULL	NULL	10301	11760	12057	11268	9692	9471	9186	9387	8988	9040	6668	7924	8942	9204	9090	7178	9846	9122	7535	8612	9693	4758	10402	8508	NULL	NULL	NULL	NULL	30	35	45	56	26	20	18	14	19	29	25	32	32	24	43	28	66	59	44	52	25	25	31	38	NULL	NULL	NULL	NULL	2056	2059	2054	1971	1929	1911	1911	1925	1894	1949	1742	1864	1964	1998	1933	1809	2053	1960	1824	1905	1963	1603	1969	1907	NULL	NULL	NULL	NULL	1113	1144	1146	1010	993	945	950	979	915	983	708	816	968	1019	935	781	1066	935	796	881	995	526	1027	899	NULL	NULL	NULL	NULL	344	283	156	83	75	60	50	47	36	31	21	20	24	23	18	15	15	13	11	12	12	9	325	159	NULL	NULL	NULL	NULL	16	14	10	6	3	2	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	15	10	NULL	NULL	NULL	NULL	14	13	9	10	2	1	1	1	1	1	1	1	1	0	1	0	2	2	1	1	0	0	15	12	NULL	NULL	NULL	NULL	675	487	259	195	144	126	99	88	80	65	70	63	54	49	48	46	37	38	37	35	26	46	627	419
8	Fitbit	12698	11105	12494	12526	12235	12988	18675	7285	14307	14353	13307	12238	9220	10427	11976	12490	14102	12608	16332	12153	12776	13452	12802	13448	16976	8446	13190	12865	55	47	59	63	67	57	101	21	50	44	43	33	45	53	65	61	74	39	65	53	62	63	52	57	100	40	55	58	2187	2080	2155	2178	2194	2193	2405	1766	2233	2195	2155	2131	1815	2103	2038	2140	2263	2181	2395	2116	2255	2248	2199	2275	2315	1842	2181	2186	1171	1045	1157	1182	1200	1211	1470	617	1255	1182	1161	1144	687	1070	977	1121	1270	1195	1469	1088	1257	1254	1174	1308	1326	731	1184	1179	290	129	106	75	58	46	39	4	42	35	31	31	5	18	14	17	18	19	21	14	6	14	12	15	8	7	289	137	32	9	11	7	7	4	5	0	2	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	23	8	22	14	11	9	6	4	7	0	4	3	3	2	1	2	3	3	3	1	2	2	1	2	2	1	2	1	32	21	682	414	311	243	184	140	104	34	102	100	92	83	43	64	61	51	62	57	45	47	22	45	42	41	19	42	837	431
9	Garmin	8495	5986	9535	4837	7948	12423	9514	9409	8937	6702	7036	10002	7596	4436	6351	8080	8251	12731	13450	13137	10841	10008	8320	8451	5086	6883	8392	9536	15	18	14	14	12	20	30	32	26	20	16	12	21	10	19	25	19	9	19	11	19	6	14	12	16	20	19	15	1995	1900	1943	1883	1968	2061	2037	2115	2003	1970	1951	1871	1970	1837	1933	1967	1909	1929	2043	1977	1971	1944	1935	1899	1874	1957	1977	1948	316	241	264	210	289	387	358	436	324	291	273	242	331	194	270	295	256	256	385	312	298	271	262	260	236	284	304	286	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7	4	2	2	1	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	8	4	2	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	Fitbit	8462	8630	9906	10881	11247	11203	14304	14003	12029	13875	11808	10732	10810	10224	8201	12032	14379	15370	12711	13941	11433	11676	13653	10248	10914	6487	11446	12171	57	64	65	67	64	76	88	89	76	72	70	54	65	55	44	63	86	102	68	80	63	56	77	39	72	25	70	68	3284	3433	3417	3408	3531	3575	3832	3768	3562	3696	3518	3456	3462	3430	3237	3515	3795	3892	3590	3707	3446	3492	3668	3244	3612	3000	3541	3558	1569	1762	1739	1711	1836	1873	2189	2093	1873	2070	1866	1773	1773	1772	1519	1851	2215	2312	1927	2090	1779	1843	2057	1555	1973	1233	1864	1912	205	112	77	53	48	35	36	27	23	28	22	23	19	18	16	16	16	14	13	13	11	12	11	3	7	9	235	126	13	8	4	5	2	2	3	2	2	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	17	9	44	22	18	11	10	9	9	8	6	5	4	3	3	2	1	2	3	4	2	2	2	1	2	0	1	0	53	23	787	386	264	178	152	121	103	95	80	67	63	60	57	47	49	42	39	37	38	35	34	33	29	9	19	31	735	342
